2024-07-09 10:51:08 - HV000001: Hibernate Validator 8.0.1.Final
2024-07-09 10:51:14 - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@d04bbd7, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@abf791f, org.springframework.security.web.context.SecurityContextHolderFilter@7d06d4a4, org.springframework.security.web.header.HeaderWriterFilter@47fc38f4, org.springframework.security.web.authentication.logout.LogoutFilter@209ec06, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@735871f7, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@d248487, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2fd552a4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@55e0ce6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5ddc2e3d, org.springframework.security.web.access.ExceptionTranslationFilter@705a611, org.springframework.security.web.access.intercept.AuthorizationFilter@1e69179c]
2024-07-09 10:51:14 - LiveReload server is running on port 35729
2024-07-09 10:51:14 - Starting ProtocolHandler ["http-nio-5001"]
2024-07-09 10:51:14 - Tomcat started on port(s): 5001 (http) with context path ''
2024-07-09 10:51:14 - Started SpringThymeleafApplication in 7.104 seconds (process running for 8.06)
2024-07-09 10:55:20 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-07-09 10:55:20 - Initializing Servlet 'dispatcherServlet'
2024-07-09 10:55:21 - Completed initialization in 1 ms
2024-07-09 10:55:30 - select n1_0.id,n1_0.cnpj_destinatario,n1_0.cnpj_emissor,n1_0.data_captura,n1_0.data_emissao,n1_0.numero_da_nota from nota n1_0 order by n1_0.data_captura desc offset ? rows fetch first ? rows only
2024-07-09 10:55:32 - select n1_0.id,n1_0.cnpj_destinatario,n1_0.cnpj_emissor,n1_0.data_captura,n1_0.data_emissao,n1_0.numero_da_nota from nota n1_0 order by n1_0.data_captura desc offset ? rows fetch first ? rows only
2024-07-09 11:03:20 - select p1_0.id,p1_0.classificacao,p1_0.codigo,p1_0.embalagem,p1_0.peso,p1_0.produto_id,p1_0.status,p1_0.subvariedade,p1_0.unidade,p1_0.variedade from propriedade p1_0 where p1_0.status=true
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
2024-07-09 11:03:20 - select p1_0.id,p1_0.nome,p1_0.subgrupo_id from produto p1_0 where p1_0.id=?
